item_id,restaurant_id,cuisine,item_name,category,price,veg_flag,prep_time_min,popularity_score
I0386,R050,South Indian,Masala Dosa,Main Course,122,Veg,12,62
I0387,R050,South Indian,Plain Dosa,Main Course,102,Veg,10,43
I0388,R050,South Indian,Idli Sambar,Main Course,84,Veg,10,83
I0389,R050,South Indian,Vada Sambar,Main Course,111,Veg,10,81
I0390,R050,South Indian,Paneer Dosa,Main Course,154,Veg,14,70
I0391,R050,South Indian,Uttapam,Main Course,133,Veg,12,42
I0392,R050,South Indian,Filter Coffee,Beverage,69,Veg,5,37
I0393,R051,South Indian,Masala Dosa,Main Course,122,Veg,12,97
I0394,R051,South Indian,Plain Dosa,Main Course,84,Veg,10,97
I0395,R051,South Indian,Idli Sambar,Main Course,83,Veg,10,41
I0396,R051,South Indian,Vada Sambar,Main Course,114,Veg,10,42
I0397,R051,South Indian,Paneer Dosa,Main Course,170,Veg,14,49
I0398,R051,South Indian,Uttapam,Main Course,121,Veg,12,89
I0399,R051,South Indian,Filter Coffee,Beverage,78,Veg,5,61
I0400,R052,North Indian,Butter Chicken,Main Course,267,Non-Veg,25,31
I0401,R052,North Indian,Paneer Butter Masala,Main Course,234,Veg,20,60
I0402,R052,North Indian,Dal Makhani,Main Course,165,Veg,18,63
I0403,R052,North Indian,Chole Bhature,Main Course,162,Veg,15,31
I0404,R052,North Indian,Kadhai Paneer,Main Course,214,Veg,20,79
I0405,R052,North Indian,Chicken Tikka,Starter,219,Non-Veg,20,85
I0406,R052,North Indian,Paneer Tikka,Starter,195,Veg,18,38
I0407,R052,North Indian,Garlic Naan,Bread,65,Veg,8,57
I0408,R052,North Indian,Jeera Rice,Rice,127,Veg,15,36
I0409,R052,North Indian,Gulab Jamun,Dessert,97,Veg,8,33
I0410,R053,Desserts,Gulab Jamun,Dessert,95,Veg,8,69
I0411,R053,Desserts,Brownie,Dessert,154,Veg,10,81
I0412,R053,Desserts,Chocolate Cake,Dessert,151,Veg,12,65
I0413,R053,Desserts,Cheesecake,Dessert,227,Veg,15,79
I0414,R053,Desserts,Ice Cream,Dessert,93,Veg,5,92
I0415,R053,Desserts,Chocolate Mousse,Dessert,152,Veg,10,36
I0416,R053,Desserts,Rasmalai,Dessert,124,Veg,8,43
I0417,R054,South Indian,Masala Dosa,Main Course,113,Veg,12,34
I0418,R054,South Indian,Plain Dosa,Main Course,81,Veg,10,31
I0419,R054,South Indian,Idli Sambar,Main Course,84,Veg,10,50
I0420,R054,South Indian,Vada Sambar,Main Course,90,Veg,10,50
I0421,R054,South Indian,Paneer Dosa,Main Course,164,Veg,14,87
I0422,R054,South Indian,Uttapam,Main Course,114,Veg,12,34
I0423,R054,South Indian,Filter Coffee,Beverage,67,Veg,5,82
I0424,R055,Biryani,Chicken Biryani,Main Course,242,Non-Veg,25,74
I0425,R055,Biryani,Mutton Biryani,Main Course,291,Non-Veg,30,89
I0426,R055,Biryani,Egg Biryani,Main Course,191,Non-Veg,22,50
I0427,R055,Biryani,Paneer Biryani,Main Course,211,Veg,22,84
I0428,R055,Biryani,Veg Biryani,Main Course,150,Veg,20,97
I0429,R055,Biryani,Chicken 65,Starter,234,Non-Veg,18,81
I0430,R055,Biryani,Raita,Side,67,Veg,5,71
I0431,R055,Biryani,Biryani Combo,Combo,307,Non-Veg,28,42
I0432,R056,Pizza,Margherita Pizza,Main Course,205,Veg,15,93
I0433,R056,Pizza,Farmhouse Pizza,Main Course,351,Veg,18,38
I0434,R056,Pizza,Paneer Pizza,Main Course,341,Veg,18,31
I0435,R056,Pizza,Chicken Pizza,Main Course,353,Non-Veg,20,58
I0436,R056,Pizza,Pepperoni Pizza,Main Course,369,Non-Veg,20,87
I0437,R056,Pizza,Garlic Bread,Side,135,Veg,10,50
I0438,R056,Pizza,Cheese Burst Pizza,Main Course,398,Veg,20,63
I0439,R057,Pizza,Margherita Pizza,Main Course,219,Veg,15,78
I0440,R057,Pizza,Farmhouse Pizza,Main Course,337,Veg,18,89
I0441,R057,Pizza,Paneer Pizza,Main Course,304,Veg,18,74
I0442,R057,Pizza,Chicken Pizza,Main Course,328,Non-Veg,20,61
I0443,R057,Pizza,Pepperoni Pizza,Main Course,436,Non-Veg,20,37
I0444,R057,Pizza,Garlic Bread,Side,127,Veg,10,72
I0445,R057,Pizza,Cheese Burst Pizza,Main Course,383,Veg,20,80
I0446,R058,Biryani,Chicken Biryani,Main Course,202,Non-Veg,25,53
I0447,R058,Biryani,Mutton Biryani,Main Course,291,Non-Veg,30,49
I0448,R058,Biryani,Egg Biryani,Main Course,195,Non-Veg,22,87
I0449,R058,Biryani,Paneer Biryani,Main Course,193,Veg,22,40
I0450,R058,Biryani,Veg Biryani,Main Course,183,Veg,20,36
I0451,R058,Biryani,Chicken 65,Starter,230,Non-Veg,18,80
I0452,R058,Biryani,Raita,Side,57,Veg,5,34
I0453,R058,Biryani,Biryani Combo,Combo,290,Non-Veg,28,37
I0454,R059,Cafe,Cold Coffee,Beverage,126,Veg,7,67
I0455,R059,Cafe,Cappuccino,Beverage,110,Veg,6,37
I0456,R059,Cafe,Masala Tea,Beverage,76,Veg,5,54
I0457,R059,Cafe,Veg Sandwich,Snack,160,Veg,10,79
I0458,R059,Cafe,Paneer Sandwich,Snack,153,Veg,12,65
I0459,R059,Cafe,Cheese Sandwich,Snack,169,Veg,10,70
I0460,R059,Cafe,Chocolate Brownie,Dessert,171,Veg,10,91
I0461,R059,Cafe,Pasta,Main Course,225,Veg,15,39
I0462,R060,Biryani,Chicken Biryani,Main Course,242,Non-Veg,25,41
I0463,R060,Biryani,Mutton Biryani,Main Course,326,Non-Veg,30,31
I0464,R060,Biryani,Egg Biryani,Main Course,189,Non-Veg,22,82
I0465,R060,Biryani,Paneer Biryani,Main Course,215,Veg,22,45
I0466,R060,Biryani,Veg Biryani,Main Course,176,Veg,20,40
I0467,R060,Biryani,Chicken 65,Starter,191,Non-Veg,18,46
I0468,R060,Biryani,Raita,Side,68,Veg,5,84
I0469,R060,Biryani,Biryani Combo,Combo,259,Non-Veg,28,88
I0470,R061,Biryani,Chicken Biryani,Main Course,228,Non-Veg,25,51
I0471,R061,Biryani,Mutton Biryani,Main Course,310,Non-Veg,30,73
I0472,R061,Biryani,Egg Biryani,Main Course,171,Non-Veg,22,75
I0473,R061,Biryani,Paneer Biryani,Main Course,172,Veg,22,50
I0474,R061,Biryani,Veg Biryani,Main Course,155,Veg,20,61
I0475,R061,Biryani,Chicken 65,Starter,206,Non-Veg,18,68
I0476,R061,Biryani,Raita,Side,67,Veg,5,76
I0477,R061,Biryani,Biryani Combo,Combo,270,Non-Veg,28,42
I0478,R062,Pizza,Margherita Pizza,Main Course,210,Veg,15,37
I0479,R062,Pizza,Farmhouse Pizza,Main Course,348,Veg,18,36
I0480,R062,Pizza,Paneer Pizza,Main Course,284,Veg,18,51
I0481,R062,Pizza,Chicken Pizza,Main Course,401,Non-Veg,20,51
I0482,R062,Pizza,Pepperoni Pizza,Main Course,393,Non-Veg,20,42
I0483,R062,Pizza,Garlic Bread,Side,132,Veg,10,58
I0484,R062,Pizza,Cheese Burst Pizza,Main Course,386,Veg,20,81
I0485,R063,Momos,Veg Momos,Main Course,133,Veg,10,52
I0486,R063,Momos,Chicken Momos,Main Course,167,Non-Veg,12,51
I0487,R063,Momos,Paneer Momos,Main Course,145,Veg,12,90
I0488,R063,Momos,Fried Momos,Main Course,174,Veg,14,32
I0489,R063,Momos,Chicken Fried Momos,Main Course,185,Non-Veg,15,48
I0490,R063,Momos,Tandoori Momos,Main Course,169,Veg,15,59
I0491,R063,Momos,Chilli Momos,Main Course,190,Veg,14,54
I0492,R064,Pizza,Margherita Pizza,Main Course,240,Veg,15,37
I0493,R064,Pizza,Farmhouse Pizza,Main Course,325,Veg,18,45
I0494,R064,Pizza,Paneer Pizza,Main Course,331,Veg,18,34
I0495,R064,Pizza,Chicken Pizza,Main Course,392,Non-Veg,20,33
I0496,R064,Pizza,Pepperoni Pizza,Main Course,351,Non-Veg,20,93
I0497,R064,Pizza,Garlic Bread,Side,154,Veg,10,39
I0498,R064,Pizza,Cheese Burst Pizza,Main Course,391,Veg,20,75
I0499,R065,Desserts,Gulab Jamun,Dessert,95,Veg,8,56
I0500,R065,Desserts,Brownie,Dessert,150,Veg,10,42
I0501,R065,Desserts,Chocolate Cake,Dessert,166,Veg,12,65
I0502,R065,Desserts,Cheesecake,Dessert,198,Veg,15,87
I0503,R065,Desserts,Ice Cream,Dessert,91,Veg,5,43
I0504,R065,Desserts,Chocolate Mousse,Dessert,163,Veg,10,82
I0505,R065,Desserts,Rasmalai,Dessert,119,Veg,8,45
I0506,R066,North Indian,Butter Chicken,Main Course,262,Non-Veg,25,99
I0507,R066,North Indian,Paneer Butter Masala,Main Course,246,Veg,20,87
I0508,R066,North Indian,Dal Makhani,Main Course,179,Veg,18,33
I0509,R066,North Indian,Chole Bhature,Main Course,173,Veg,15,53
I0510,R066,North Indian,Kadhai Paneer,Main Course,200,Veg,20,55
I0511,R066,North Indian,Chicken Tikka,Starter,239,Non-Veg,20,83
I0512,R066,North Indian,Paneer Tikka,Starter,215,Veg,18,50
I0513,R066,North Indian,Garlic Naan,Bread,64,Veg,8,75
I0514,R066,North Indian,Jeera Rice,Rice,129,Veg,15,86
I0515,R066,North Indian,Gulab Jamun,Dessert,90,Veg,8,46
I0516,R067,Healthy,Veg Salad Bowl,Healthy,188,Veg,10,33
I0517,R067,Healthy,Chicken Salad Bowl,Healthy,236,Non-Veg,12,32
I0518,R067,Healthy,Paneer Bowl,Healthy,202,Veg,12,87
I0519,R067,Healthy,Grilled Chicken Bowl,Healthy,270,Non-Veg,18,33
I0520,R067,Healthy,Fruit Bowl,Healthy,137,Veg,8,53
I0521,R067,Healthy,Protein Smoothie,Beverage,192,Veg,8,48
I0522,R067,Healthy,Oats Bowl,Breakfast,135,Veg,10,89
I0523,R068,Momos,Veg Momos,Main Course,118,Veg,10,92
I0524,R068,Momos,Chicken Momos,Main Course,138,Non-Veg,12,51
I0525,R068,Momos,Paneer Momos,Main Course,150,Veg,12,59
I0526,R068,Momos,Fried Momos,Main Course,183,Veg,14,60
I0527,R068,Momos,Chicken Fried Momos,Main Course,210,Non-Veg,15,48
I0528,R068,Momos,Tandoori Momos,Main Course,182,Veg,15,84
I0529,R068,Momos,Chilli Momos,Main Course,184,Veg,14,47
I0530,R069,Chinese,Veg Hakka Noodles,Main Course,159,Veg,15,76
I0531,R069,Chinese,Chicken Hakka Noodles,Main Course,241,Non-Veg,18,74
I0532,R069,Chinese,Veg Fried Rice,Main Course,142,Veg,15,99
I0533,R069,Chinese,Chicken Fried Rice,Main Course,212,Non-Veg,18,76
I0534,R069,Chinese,Chilli Paneer,Starter,177,Veg,15,99
I0535,R069,Chinese,Chilli Chicken,Starter,253,Non-Veg,18,38
I0536,R069,Chinese,Manchurian,Starter,193,Veg,15,98
I0537,R069,Chinese,Spring Rolls,Starter,123,Veg,12,90
I0538,R070,Healthy,Veg Salad Bowl,Healthy,206,Veg,10,32
I0539,R070,Healthy,Chicken Salad Bowl,Healthy,209,Non-Veg,12,99
I0540,R070,Healthy,Paneer Bowl,Healthy,226,Veg,12,80
I0541,R070,Healthy,Grilled Chicken Bowl,Healthy,295,Non-Veg,18,71
I0542,R070,Healthy,Fruit Bowl,Healthy,167,Veg,8,55
I0543,R070,Healthy,Protein Smoothie,Beverage,201,Veg,8,93
I0544,R070,Healthy,Oats Bowl,Breakfast,133,Veg,10,78
I0545,R071,North Indian,Butter Chicken,Main Course,282,Non-Veg,25,93
I0546,R071,North Indian,Paneer Butter Masala,Main Course,225,Veg,20,99
I0547,R071,North Indian,Dal Makhani,Main Course,190,Veg,18,68
I0548,R071,North Indian,Chole Bhature,Main Course,164,Veg,15,30
I0549,R071,North Indian,Kadhai Paneer,Main Course,230,Veg,20,99
I0550,R071,North Indian,Chicken Tikka,Starter,219,Non-Veg,20,75
I0551,R071,North Indian,Paneer Tikka,Starter,211,Veg,18,89
I0552,R071,North Indian,Garlic Naan,Bread,70,Veg,8,53
I0553,R071,North Indian,Jeera Rice,Rice,132,Veg,15,59
I0554,R071,North Indian,Gulab Jamun,Dessert,87,Veg,8,59
I0555,R072,Desserts,Gulab Jamun,Dessert,82,Veg,8,36
I0556,R072,Desserts,Brownie,Dessert,135,Veg,10,43
I0557,R072,Desserts,Chocolate Cake,Dessert,154,Veg,12,45
I0558,R072,Desserts,Cheesecake,Dessert,240,Veg,15,99
I0559,R072,Desserts,Ice Cream,Dessert,92,Veg,5,74
I0560,R072,Desserts,Chocolate Mousse,Dessert,167,Veg,10,86
I0561,R072,Desserts,Rasmalai,Dessert,118,Veg,8,79
I0562,R073,Desserts,Gulab Jamun,Dessert,90,Veg,8,36
I0563,R073,Desserts,Brownie,Dessert,129,Veg,10,44
I0564,R073,Desserts,Chocolate Cake,Dessert,145,Veg,12,49
I0565,R073,Desserts,Cheesecake,Dessert,205,Veg,15,77
I0566,R073,Desserts,Ice Cream,Dessert,113,Veg,5,71
I0567,R073,Desserts,Chocolate Mousse,Dessert,166,Veg,10,43
I0568,R073,Desserts,Rasmalai,Dessert,130,Veg,8,87
I0569,R074,Chinese,Veg Hakka Noodles,Main Course,183,Veg,15,98
I0570,R074,Chinese,Chicken Hakka Noodles,Main Course,223,Non-Veg,18,66
I0571,R074,Chinese,Veg Fried Rice,Main Course,156,Veg,15,48
I0572,R074,Chinese,Chicken Fried Rice,Main Course,195,Non-Veg,18,41
I0573,R074,Chinese,Chilli Paneer,Starter,188,Veg,15,70
I0574,R074,Chinese,Chilli Chicken,Starter,199,Non-Veg,18,97
I0575,R074,Chinese,Manchurian,Starter,171,Veg,15,100
I0576,R074,Chinese,Spring Rolls,Starter,139,Veg,12,62
I0577,R075,Momos,Veg Momos,Main Course,124,Veg,10,90
I0578,R075,Momos,Chicken Momos,Main Course,144,Non-Veg,12,57
I0579,R075,Momos,Paneer Momos,Main Course,151,Veg,12,70
I0580,R075,Momos,Fried Momos,Main Course,176,Veg,14,78
I0581,R075,Momos,Chicken Fried Momos,Main Course,197,Non-Veg,15,99
I0582,R075,Momos,Tandoori Momos,Main Course,172,Veg,15,94
I0583,R075,Momos,Chilli Momos,Main Course,171,Veg,14,34
I0584,R076,Cafe,Cold Coffee,Beverage,148,Veg,7,86
I0585,R076,Cafe,Cappuccino,Beverage,128,Veg,6,45
I0586,R076,Cafe,Masala Tea,Beverage,70,Veg,5,68
I0587,R076,Cafe,Veg Sandwich,Snack,145,Veg,10,69
I0588,R076,Cafe,Paneer Sandwich,Snack,158,Veg,12,88
I0589,R076,Cafe,Cheese Sandwich,Snack,162,Veg,10,93
I0590,R076,Cafe,Chocolate Brownie,Dessert,165,Veg,10,78
I0591,R076,Cafe,Pasta,Main Course,190,Veg,15,36
I0592,R077,Biryani,Chicken Biryani,Main Course,246,Non-Veg,25,55
I0593,R077,Biryani,Mutton Biryani,Main Course,314,Non-Veg,30,44
I0594,R077,Biryani,Egg Biryani,Main Course,171,Non-Veg,22,43
I0595,R077,Biryani,Paneer Biryani,Main Course,182,Veg,22,69
I0596,R077,Biryani,Veg Biryani,Main Course,183,Veg,20,55
I0597,R077,Biryani,Chicken 65,Starter,218,Non-Veg,18,95
I0598,R077,Biryani,Raita,Side,55,Veg,5,32
I0599,R077,Biryani,Biryani Combo,Combo,316,Non-Veg,28,71
I0600,R078,Momos,Veg Momos,Main Course,123,Veg,10,35
I0601,R078,Momos,Chicken Momos,Main Course,149,Non-Veg,12,52
I0602,R078,Momos,Paneer Momos,Main Course,155,Veg,12,79
I0603,R078,Momos,Fried Momos,Main Course,148,Veg,14,98
I0604,R078,Momos,Chicken Fried Momos,Main Course,217,Non-Veg,15,41
I0605,R078,Momos,Tandoori Momos,Main Course,186,Veg,15,53
I0606,R078,Momos,Chilli Momos,Main Course,168,Veg,14,70
I0607,R079,Cafe,Cold Coffee,Beverage,136,Veg,7,84
I0608,R079,Cafe,Cappuccino,Beverage,127,Veg,6,44
I0609,R079,Cafe,Masala Tea,Beverage,79,Veg,5,71
I0610,R079,Cafe,Veg Sandwich,Snack,142,Veg,10,99
I0611,R079,Cafe,Paneer Sandwich,Snack,187,Veg,12,36
I0612,R079,Cafe,Cheese Sandwich,Snack,169,Veg,10,32
I0613,R079,Cafe,Chocolate Brownie,Dessert,169,Veg,10,69
I0614,R079,Cafe,Pasta,Main Course,205,Veg,15,30
I0615,R080,Desserts,Gulab Jamun,Dessert,82,Veg,8,37
I0616,R080,Desserts,Brownie,Dessert,157,Veg,10,77
I0617,R080,Desserts,Chocolate Cake,Dessert,150,Veg,12,33
I0618,R080,Desserts,Cheesecake,Dessert,242,Veg,15,48
I0619,R080,Desserts,Ice Cream,Dessert,112,Veg,5,41
I0620,R080,Desserts,Chocolate Mousse,Dessert,163,Veg,10,45
I0621,R080,Desserts,Rasmalai,Dessert,138,Veg,8,50
I0622,R081,Pizza,Margherita Pizza,Main Course,238,Veg,15,63
I0623,R081,Pizza,Farmhouse Pizza,Main Course,301,Veg,18,88
I0624,R081,Pizza,Paneer Pizza,Main Course,282,Veg,18,56
I0625,R081,Pizza,Chicken Pizza,Main Course,375,Non-Veg,20,32
I0626,R081,Pizza,Pepperoni Pizza,Main Course,392,Non-Veg,20,54
I0627,R081,Pizza,Garlic Bread,Side,155,Veg,10,55
I0628,R081,Pizza,Cheese Burst Pizza,Main Course,331,Veg,20,34
I0629,R082,North Indian,Butter Chicken,Main Course,320,Non-Veg,25,38
I0630,R082,North Indian,Paneer Butter Masala,Main Course,243,Veg,20,79
I0631,R082,North Indian,Dal Makhani,Main Course,167,Veg,18,89
I0632,R082,North Indian,Chole Bhature,Main Course,157,Veg,15,40
I0633,R082,North Indian,Kadhai Paneer,Main Course,236,Veg,20,32
I0634,R082,North Indian,Chicken Tikka,Starter,269,Non-Veg,20,59
I0635,R082,North Indian,Paneer Tikka,Starter,189,Veg,18,50
I0636,R082,North Indian,Garlic Naan,Bread,65,Veg,8,91
I0637,R082,North Indian,Jeera Rice,Rice,140,Veg,15,64
I0638,R082,North Indian,Gulab Jamun,Dessert,84,Veg,8,70
I0639,R083,Chinese,Veg Hakka Noodles,Main Course,174,Veg,15,87
I0640,R083,Chinese,Chicken Hakka Noodles,Main Course,221,Non-Veg,18,52
I0641,R083,Chinese,Veg Fried Rice,Main Course,158,Veg,15,51
I0642,R083,Chinese,Chicken Fried Rice,Main Course,217,Non-Veg,18,40
I0643,R083,Chinese,Chilli Paneer,Starter,211,Veg,15,64
I0644,R083,Chinese,Chilli Chicken,Starter,200,Non-Veg,18,45
I0645,R083,Chinese,Manchurian,Starter,158,Veg,15,69
I0646,R083,Chinese,Spring Rolls,Starter,117,Veg,12,76
I0647,R084,North Indian,Butter Chicken,Main Course,264,Non-Veg,25,49
I0648,R084,North Indian,Paneer Butter Masala,Main Course,210,Veg,20,92
I0649,R084,North Indian,Dal Makhani,Main Course,177,Veg,18,87
I0650,R084,North Indian,Chole Bhature,Main Course,165,Veg,15,67
I0651,R084,North Indian,Kadhai Paneer,Main Course,208,Veg,20,50
I0652,R084,North Indian,Chicken Tikka,Starter,218,Non-Veg,20,82
I0653,R084,North Indian,Paneer Tikka,Starter,213,Veg,18,43
I0654,R084,North Indian,Garlic Naan,Bread,79,Veg,8,46
I0655,R084,North Indian,Jeera Rice,Rice,142,Veg,15,35
I0656,R084,North Indian,Gulab Jamun,Dessert,96,Veg,8,52
I0657,R085,Burgers,Veg Burger,Main Course,122,Veg,10,75
I0658,R085,Burgers,Paneer Burger,Main Course,173,Veg,12,91
I0659,R085,Burgers,Chicken Burger,Main Course,189,Non-Veg,12,59
I0660,R085,Burgers,Cheese Burger,Main Course,198,Veg,12,54
I0661,R085,Burgers,Double Chicken Burger,Main Course,261,Non-Veg,15,43
I0662,R085,Burgers,French Fries,Side,124,Veg,8,51
I0663,R085,Burgers,Peri Peri Fries,Side,145,Veg,8,80
I0664,R086,Burgers,Veg Burger,Main Course,144,Veg,10,48
I0665,R086,Burgers,Paneer Burger,Main Course,187,Veg,12,74
I0666,R086,Burgers,Chicken Burger,Main Course,217,Non-Veg,12,92
I0667,R086,Burgers,Cheese Burger,Main Course,187,Veg,12,48
I0668,R086,Burgers,Double Chicken Burger,Main Course,291,Non-Veg,15,43
I0669,R086,Burgers,French Fries,Side,105,Veg,8,82
I0670,R086,Burgers,Peri Peri Fries,Side,135,Veg,8,69
I0671,R087,Momos,Veg Momos,Main Course,116,Veg,10,38
I0672,R087,Momos,Chicken Momos,Main Course,135,Non-Veg,12,81
I0673,R087,Momos,Paneer Momos,Main Course,137,Veg,12,82
I0674,R087,Momos,Fried Momos,Main Course,156,Veg,14,88
I0675,R087,Momos,Chicken Fried Momos,Main Course,206,Non-Veg,15,70
I0676,R087,Momos,Tandoori Momos,Main Course,164,Veg,15,97
I0677,R087,Momos,Chilli Momos,Main Course,190,Veg,14,31
I0678,R088,Desserts,Gulab Jamun,Dessert,96,Veg,8,70
I0679,R088,Desserts,Brownie,Dessert,161,Veg,10,84
I0680,R088,Desserts,Chocolate Cake,Dessert,165,Veg,12,91
I0681,R088,Desserts,Cheesecake,Dessert,242,Veg,15,59
I0682,R088,Desserts,Ice Cream,Dessert,101,Veg,5,40
I0683,R088,Desserts,Chocolate Mousse,Dessert,172,Veg,10,79
I0684,R088,Desserts,Rasmalai,Dessert,125,Veg,8,50
I0685,R089,Desserts,Gulab Jamun,Dessert,82,Veg,8,49
I0686,R089,Desserts,Brownie,Dessert,134,Veg,10,73
I0687,R089,Desserts,Chocolate Cake,Dessert,149,Veg,12,90
I0688,R089,Desserts,Cheesecake,Dessert,200,Veg,15,64
I0689,R089,Desserts,Ice Cream,Dessert,111,Veg,5,94
I0690,R089,Desserts,Chocolate Mousse,Dessert,136,Veg,10,76
I0691,R089,Desserts,Rasmalai,Dessert,110,Veg,8,83
I0692,R090,Biryani,Chicken Biryani,Main Course,222,Non-Veg,25,76
I0693,R090,Biryani,Mutton Biryani,Main Course,299,Non-Veg,30,48
I0694,R090,Biryani,Egg Biryani,Main Course,202,Non-Veg,22,51
I0695,R090,Biryani,Paneer Biryani,Main Course,200,Veg,22,80
I0696,R090,Biryani,Veg Biryani,Main Course,162,Veg,20,58
I0697,R090,Biryani,Chicken 65,Starter,223,Non-Veg,18,84
I0698,R090,Biryani,Raita,Side,62,Veg,5,57
I0699,R090,Biryani,Biryani Combo,Combo,268,Non-Veg,28,74
I0700,R091,Biryani,Chicken Biryani,Main Course,251,Non-Veg,25,95
I0701,R091,Biryani,Mutton Biryani,Main Course,310,Non-Veg,30,84
I0702,R091,Biryani,Egg Biryani,Main Course,206,Non-Veg,22,67
I0703,R091,Biryani,Paneer Biryani,Main Course,174,Veg,22,54
I0704,R091,Biryani,Veg Biryani,Main Course,144,Veg,20,90
I0705,R091,Biryani,Chicken 65,Starter,214,Non-Veg,18,56
I0706,R091,Biryani,Raita,Side,56,Veg,5,94
I0707,R091,Biryani,Biryani Combo,Combo,284,Non-Veg,28,69
I0708,R092,Biryani,Chicken Biryani,Main Course,224,Non-Veg,25,77
I0709,R092,Biryani,Mutton Biryani,Main Course,310,Non-Veg,30,85
I0710,R092,Biryani,Egg Biryani,Main Course,189,Non-Veg,22,90
I0711,R092,Biryani,Paneer Biryani,Main Course,171,Veg,22,75
I0712,R092,Biryani,Veg Biryani,Main Course,146,Veg,20,37
I0713,R092,Biryani,Chicken 65,Starter,191,Non-Veg,18,68
I0714,R092,Biryani,Raita,Side,66,Veg,5,78
I0715,R092,Biryani,Biryani Combo,Combo,267,Non-Veg,28,83
I0716,R093,Pizza,Margherita Pizza,Main Course,249,Veg,15,38
I0717,R093,Pizza,Farmhouse Pizza,Main Course,353,Veg,18,78
I0718,R093,Pizza,Paneer Pizza,Main Course,316,Veg,18,50
I0719,R093,Pizza,Chicken Pizza,Main Course,345,Non-Veg,20,68
I0720,R093,Pizza,Pepperoni Pizza,Main Course,397,Non-Veg,20,68
I0721,R093,Pizza,Garlic Bread,Side,143,Veg,10,40
I0722,R093,Pizza,Cheese Burst Pizza,Main Course,328,Veg,20,40
I0723,R094,Healthy,Veg Salad Bowl,Healthy,168,Veg,10,75
I0724,R094,Healthy,Chicken Salad Bowl,Healthy,216,Non-Veg,12,69
I0725,R094,Healthy,Paneer Bowl,Healthy,221,Veg,12,90
I0726,R094,Healthy,Grilled Chicken Bowl,Healthy,280,Non-Veg,18,41
I0727,R094,Healthy,Fruit Bowl,Healthy,160,Veg,8,62
I0728,R094,Healthy,Protein Smoothie,Beverage,199,Veg,8,98
I0729,R094,Healthy,Oats Bowl,Breakfast,126,Veg,10,75
I0730,R095,South Indian,Masala Dosa,Main Course,110,Veg,12,76
I0731,R095,South Indian,Plain Dosa,Main Course,82,Veg,10,76
I0732,R095,South Indian,Idli Sambar,Main Course,101,Veg,10,47
I0733,R095,South Indian,Vada Sambar,Main Course,93,Veg,10,62
I0734,R095,South Indian,Paneer Dosa,Main Course,152,Veg,14,48
I0735,R095,South Indian,Uttapam,Main Course,126,Veg,12,69
I0736,R095,South Indian,Filter Coffee,Beverage,76,Veg,5,44
I0737,R096,Healthy,Veg Salad Bowl,Healthy,196,Veg,10,31
I0738,R096,Healthy,Chicken Salad Bowl,Healthy,245,Non-Veg,12,95
I0739,R096,Healthy,Paneer Bowl,Healthy,247,Veg,12,39
I0740,R096,Healthy,Grilled Chicken Bowl,Healthy,267,Non-Veg,18,80
I0741,R096,Healthy,Fruit Bowl,Healthy,169,Veg,8,68
I0742,R096,Healthy,Protein Smoothie,Beverage,201,Veg,8,99
I0743,R096,Healthy,Oats Bowl,Breakfast,130,Veg,10,31
I0744,R097,North Indian,Butter Chicken,Main Course,289,Non-Veg,25,32
I0745,R097,North Indian,Paneer Butter Masala,Main Course,227,Veg,20,69
I0746,R097,North Indian,Dal Makhani,Main Course,199,Veg,18,70
I0747,R097,North Indian,Chole Bhature,Main Course,161,Veg,15,64
I0748,R097,North Indian,Kadhai Paneer,Main Course,213,Veg,20,84
I0749,R097,North Indian,Chicken Tikka,Starter,251,Non-Veg,20,91
I0750,R097,North Indian,Paneer Tikka,Starter,208,Veg,18,54
I0751,R097,North Indian,Garlic Naan,Bread,76,Veg,8,67
I0752,R097,North Indian,Jeera Rice,Rice,144,Veg,15,83
I0753,R097,North Indian,Gulab Jamun,Dessert,100,Veg,8,65
I0754,R098,Healthy,Veg Salad Bowl,Healthy,192,Veg,10,82
I0755,R098,Healthy,Chicken Salad Bowl,Healthy,257,Non-Veg,12,59
I0756,R098,Healthy,Paneer Bowl,Healthy,223,Veg,12,61
I0757,R098,Healthy,Grilled Chicken Bowl,Healthy,287,Non-Veg,18,57
I0758,R098,Healthy,Fruit Bowl,Healthy,157,Veg,8,70
I0759,R098,Healthy,Protein Smoothie,Beverage,181,Veg,8,77
I0760,R098,Healthy,Oats Bowl,Breakfast,126,Veg,10,86
I0761,R099,Pizza,Margherita Pizza,Main Course,200,Veg,15,62
I0762,R099,Pizza,Farmhouse Pizza,Main Course,330,Veg,18,63
I0763,R099,Pizza,Paneer Pizza,Main Course,283,Veg,18,66
I0764,R099,Pizza,Chicken Pizza,Main Course,372,Non-Veg,20,66
I0765,R099,Pizza,Pepperoni Pizza,Main Course,427,Non-Veg,20,94
I0766,R099,Pizza,Garlic Bread,Side,159,Veg,10,48
I0767,R099,Pizza,Cheese Burst Pizza,Main Course,326,Veg,20,89
I0768,R100,North Indian,Butter Chicken,Main Course,279,Non-Veg,25,64
I0769,R100,North Indian,Paneer Butter Masala,Main Course,217,Veg,20,40
I0770,R100,North Indian,Dal Makhani,Main Course,176,Veg,18,67
I0771,R100,North Indian,Chole Bhature,Main Course,178,Veg,15,37
